Source,Target,Type,Id,Label,timeset,Weight
medicare,public health,Undirected,1947,,,114
federal government,health insurance,Undirected,1950,,,116
the Clintons,congress,Undirected,1953,,,117
public health,white house,Undirected,1955,,,119
china,public health,Undirected,1957,,,126
america,Bernie Sanders,Undirected,1958,,,127
donald trump,public health,Undirected,1961,,,333
obamacare,public health,Undirected,1965,,,131
democrat,medicaid,Undirected,1967,,,134
Racial Matter,congress,Undirected,1969,,,135
china,obamacare,Undirected,1971,,,139
medicaid,public health,Undirected,1972,,,140
china,white house,Undirected,1974,,,142
health care,public health,Undirected,1976,,,143
obamacare,prevention,Undirected,1978,,,143
democrat,medicare,Undirected,1979,,,144
donald trump,health insurance,Undirected,1980,,,330
the Clintons,obamacare,Undirected,1981,,,147
federal government,public health,Undirected,1983,,,150
china,republican,Undirected,1986,,,151
the Clintons,republican,Undirected,1987,,,151
joe biden,public health,Undirected,1988,,,154
Racial Matter,donald trump,Undirected,1989,,,157
america,india,Undirected,1993,,,161
Racial Matter,covid-19,Undirected,1994,,,161
state,the Clintons,Undirected,1995,,,646
democrat,health care,Undirected,1996,,,162
federal government,white house,Undirected,1997,,,162
health care,white house,Undirected,1998,,,162
federal government,prevention,Undirected,1999,,,168
donald trump,prevention,Undirected,2003,,,454
china,prevention,Undirected,2004,,,178
joe biden,medicaid,Undirected,2008,,,180
america,health insurance,Undirected,2009,,,181
donald trump,federal government,Undirected,2012,,,498
medicare,white house,Undirected,2014,,,193
health insurance,medicare,Undirected,2015,,,194
prevention,white house,Undirected,2018,,,197
joe biden,obamacare,Undirected,2019,,,198
medicaid,white house,Undirected,2020,,,199
democrat,white house,Undirected,2022,,,200
joe biden,medicare,Undirected,2025,,,206
federal government,health care,Undirected,2028,,,212
public health,republican,Undirected,2030,,,217
china,india,Undirected,2031,,,218
covid-19,democrat,Undirected,2033,,,228
joe biden,prevention,Undirected,2034,,,231
donald trump,medicare,Undirected,2036,,,633
the Clintons,donald trump,Undirected,2037,,,236
health care,health insurance,Undirected,2039,,,238
state,china,Undirected,2040,,,1411
donald trump,joe biden,Undirected,2041,,,964
federal government,medicare,Undirected,2042,,,259
federal government,obamacare,Undirected,2043,,,259
congress,india,Undirected,2046,,,264
democrat,obamacare,Undirected,2047,,,264
prevention,public health,Undirected,2048,,,264
donald trump,health care,Undirected,2049,,,631
state,india,Undirected,2050,,,751
america,prevention,Undirected,2051,,,276
america,china,Undirected,2053,,,281
donald trump,medicaid,Undirected,2054,,,730
health insurance,republican,Undirected,2055,,,281
prevention,republican,Undirected,2056,,,287
covid-19,medicaid,Undirected,2057,,,289
america,public health,Undirected,2058,,,294
america,democrat,Undirected,2060,,,295
covid-19,medicare,Undirected,2061,,,300
congress,joe biden,Undirected,2062,,,681
covid-19,health care,Undirected,2064,,,307
federal government,medicaid,Undirected,2066,,,309
federal government,republican,Undirected,2069,,,314
health insurance,medicaid,Undirected,2070,,,315
covid-19,india,Undirected,2071,,,316
state,health insurance,Undirected,2072,,,1060
china,congress,Undirected,2073,,,317
congress,health insurance,Undirected,2074,,,321
america,federal government,Undirected,2076,,,359
congress,public health,Undirected,2079,,,369
health insurance,obamacare,Undirected,2082,,,387
medicare,republican,Undirected,2083,,,397
joe biden,white house,Undirected,2085,,,402
america,white house,Undirected,2086,,,410
state,democrat,Undirected,2087,,,2058
state,Bernie Sanders,Undirected,2088,,,928
state,federal government,Undirected,2089,,,2031
congress,democrat,Undirected,2091,,,450
america,joe biden,Undirected,2092,,,451
america,medicare,Undirected,2093,,,452
obamacare,white house,Undirected,2094,,,453
covid-19,federal government,Undirected,2095,,,454
america,health care,Undirected,2096,,,476
public health,state,Undirected,2098,,,1743
health care,medicare,Undirected,2099,,,482
congress,prevention,Undirected,2103,,,487
health care,republican,Undirected,2104,,,487
america,medicaid,Undirected,2105,,,493
covid-19,white house,Undirected,2106,,,499
covid-19,joe biden,Undirected,2107,,,1097
congress,federal government,Undirected,2108,,,525
democrat,republican,Undirected,2109,,,525
joe biden,republican,Undirected,2111,,,528
medicare,obamacare,Undirected,2112,,,529
health care,obamacare,Undirected,2113,,,530
republican,white house,Undirected,2114,,,532
health care,medicaid,Undirected,2116,,,539
china,donald trump,Undirected,2117,,,541
china,covid-19,Undirected,2118,,,542
covid-19,public health,Undirected,2119,,,544
donald trump,obamacare,Undirected,2120,,,1243
democrat,donald trump,Undirected,2123,,,592
medicaid,republican,Undirected,2125,,,596
covid-19,prevention,Undirected,2129,,,644
state,joe biden,Undirected,2130,,,3015
america,obamacare,Undirected,2131,,,666
prevention,state,Undirected,2132,,,2358
congress,white house,Undirected,2133,,,681
medicaid,obamacare,Undirected,2136,,,706
congress,health care,Undirected,2137,,,713
covid-19,republican,Undirected,2139,,,741
america,covid-19,Undirected,2141,,,764
state,health care,Undirected,2142,,,2605
congress,medicaid,Undirected,2143,,,808
donald trump,republican,Undirected,2144,,,1819
medicaid,medicare,Undirected,2145,,,855
america,republican,Undirected,2146,,,856
congress,medicare,Undirected,2147,,,887
obamacare,republican,Undirected,2149,,,981
state,covid-19,Undirected,2150,,,4749
congress,obamacare,Undirected,2151,,,1051
donald trump,white house,Undirected,2152,,,1053
medicare,state,Undirected,2153,,,2464
congress,covid-19,Undirected,2156,,,1214
congress,republican,Undirected,2159,,,1271
america,congress,Undirected,2160,,,1275
medicaid,state,Undirected,2161,,,2812
state,congress,Undirected,2163,,,6301
covid-19,donald trump,Undirected,2164,,,1369
america,donald trump,Undirected,2165,,,1378
obamacare,state,Undirected,2167,,,3486
republican,state,Undirected,2172,,,5535
congress,donald trump,Undirected,2174,,,2010
state,white house,Undirected,2176,,,2404
donald trump,state,Undirected,2178,,,7461
america,state,Undirected,2181,,,4689
